artist,song,link,text
Bob Dylan,4Th Time Around,/b/bob+dylan/4th+time+around_20021421.html,"When she said, ""Don't waste your words, they're just lies,""  
I cried she was deaf.  
And she worked on my face until breaking my eyes,  
Then said, ""What else you got left?""  
It was then that I got up to leave  
But she said, ""Don't forget,  
Everybody must give something back  
For something they get.""  
  
I stood there and hummed,  
I tapped on her drum  
And asked her how come.  
And she buttoned her boot,  
And straightened her suit,  
Then she said, ""Don't get cute.""  
So I forced my hands in my pockets  
And felt with my thumbs,  
And gallantly handed her  
My very last piece of gum.  
  
She threw me outside,  
I stood in the dirt where ev'ryone walked.  
And after finding I'd forgotten my shirt,  
I went back and knocked.  
I waited in the hallway, she went to get it,  
And I tried to make sense  
Out of that picture of you in your wheelchair  
That leaned up against--  
  
Her Jamaican rum  
And when she did come, I asked her for some.  
She said, ""No, dear.""  
I said, ""Your words aren't clear,  
You'd better spit out your gum.""  
She screamed till her face got so red,  
Then she fell on the floor,  
And I covered her up and then  
Thought I'd go look through her drawer.  
  
And when I was through  
I filled up my shoe and brought it to you.  
And you, you took me in,  
You loved me then, you never wasted time.  
And I, I never took much,  
I never asked for your crutch  
And I don't ask for mine.

"
Bob Dylan,A Satisfied Mind,/b/bob+dylan/a+satisfied+mind_20021501.html,"How many times have you heard someone say  
If I had his money I'd do things my way  
Hmm, but little they know  
Hmm, it's so hard to find  
One man in ten with a satisfied mind.  
  
Hmm, once I was wading in fortune and fame  
Everything that I dreamed of to get a start in lifes game  
But suddenly it happened  
Hmm, I lost every dime  
But I'm richer by far with a satisfied mind.  
  
Hmm, when my life is over and my time has run out  
My friends and my loved ones I'll leave there ain't no doubt  
But one things for certain  
When it comes my time  
I'll leave this old world with a satisfied mind.

"
Bob Dylan,Ain't Gonna Grieve,/b/bob+dylan/aint+gonna+grieve_20275479.html,"By Bob Dylan  
  
Well, I ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
And ain't a-gonna grieve no more.  
  
Come on brother, join the band,  
Come on sisters, clap your hands,  
Tell everybody that's in the land,  
You ain't a-gonna grieve no more.  
  
Well, I ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
And ain't a-gonna grieve no more.  
  
Brown and blue and white and black,  
All one color on the one-way track,  
We got this far and ain't a-goin' back  
And ain't a-gonna grieve no more.  
  
Well, I ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
I ain't a-gonna grieve no more.  
  
We're gonna notify your next of kin,  
You're gonna raise the roof until the house falls in.  
If you get knocked down get up again,  
We ain't a-gonna grieve no more.  
  
Well, I ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
I ain't a-gonna grieve no more.  
  
We'll sing this song all night long,  
Sing it to my baby from midnight on.  
She'll sing it to you when I'm dead and gone,  
Ain't a-gonna grieve no more.  
  
Well, I ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
Ain't a-gonna grieve no more, no more  
I ain't a-gonna grieve no more

"
Bob Dylan,All Over You,/b/bob+dylan/all+over+you_20238880.html,"By Bob Dylan  
  
Well, if I had to do it all over again,  
Babe, I'd do it all over you.  
And if I had to wait for ten thousand years,  
Babe, I'd even do that too.  
Well, a dog's got his bone in the alley,  
A cat, she's got nine lives,  
A millionaire's got a million dollars,  
King Saud's got four hundred wives.  
Well, ev'rybody's got somethin'  
That they're lookin' forward to.  
I'm lookin' forward to when I can do it all again  
And babe, I'll do it all over you.  
  
Well, if I had my way tomorrow or today,  
Babe, I'd run circles all around.  
I'd jump up in the wind, do a somersault and spin,  
I'd even dance a jig on the ground.  
Well, everybody gets their hour,  
Everybody gets their time,  
Little David when he picked up his pebbles,  
Even Sampson after he went blind.  
Well, everybody gets the chance  
To do what they want to do.  
When my time arrives you better run for your life  
'Cause babe, I'll do it all over you.  
  
Well, I don't need no money, I just need a day that's sunny,  
Baby, and my days are gonna come.  
And I grab me a pint, you know that I'm a giant  
When you hear me yellin', ""Fee-fi-fo-fum.""  
Well, you cut me like a jigsaw puzzle,  
You made me to a walkin' wreck,  
Then you pushed my heart through my backbone,  
Then you knocked off my head from my neck.  
Well, if I'm ever standin' steady  
A-doin' what I want to do,  
Well, I tell you little lover that you better run for cover  
'Cause babe, I'll do it all over you.  
  
I'm just restin' at your gate so that I won't be late  
And, momma, I'm a-just sittin' on the shelf.  
Look out your window fair and you'll see me squattin' there  
Just a-fumblin' and a-mumblin' to myself.  
Well, after my cigarette's been smoked up,  
After all my liquor's been drunk,  
After my dreams are dreamed out,  
After all my thoughts have been thunk,  
Well, after I do some of these things,  
I'm gonna do what I have to do.  
And I tell you on the side, that you better run and hide  
'Cause babe, I'll do it all over you.

"
Bob Dylan,Ballad Of Donald White,/b/bob+dylan/ballad+of+donald+white_20155910.html,"My name is Donald White, you see,  
I stand before you all.  
I was judged by you a murderer  
And the hangman's knot must fall.  
I will die upon the gallows pole  
When the moon is shining clear,  
And these are my final words  
That you will ever hear.  
  
I left my home in Kansas  
When I was very young,  
I landed in the old Northwest,  
Seattle, Washington  
Although I'd a-traveled many miles,  
I never made a friend,  
For I could never get along in life  
With people that I met.  
  
If I had some education  
To give me a decent start,  
I might have been a doctor or  
A master in the arts.  
But I used my hands for stealing  
When I was very young,  
And they locked me down in jailhouse cells,  
That's how my life begun.  
  
Oh, the inmates and the prisoners,  
I found they were my kind,  
And it was there inside the bars  
I found my peace of mind.  
But the jails they were too crowded,  
Institutions overflowed,  
So they turned me loose to walk upon  
Life's hurried tangled road.  
  
And there's danger on the ocean  
Where the salt sea waves split high,  
And there's danger on the battlefield  
Where the shells of bullets fly,  
And there's danger in this open world  
Where men strive to be free,  
And for me the greatest danger  
Was in society.  
  
So I asked them to send me back  
To the institution home.  
But they said they were too crowded,  
For me they had no room.  
I got down on my knees and begged,  
""Oh, please put me away,""  
But they would not listen to my plea  
Or nothing I would say.  
  
And so it was on Christmas eve  
In the year of '59,  
It was on that night I killed a man,  
I did not try to hide,  
The jury found me guilty  
And I won't disagree,  
For I knew that it would happen  
If I wasn't put away.  
  
And I'm glad I've had no parents  
To care for me or cry,  
For now they will never know  
The horrible death I die.  
And I'm also glad I've had no friends  
To see me in disgrace,  
For they'll never see that hangman's hood  
Wrap around my face.  
  
Farewell unto the old north woods  
Of which I used to roam,  
Farewell unto the crowded bars  
Of which've been my home,  
Farewell to all you people  
Who think the worst of me,  
I guess you'll feel much better when  
I'm on that hanging tree.  
  
But there's just one question  
Before they kill me dead,  
I'm wondering just how much  
To you I really said  
Concerning all the boys that come  
Down a road like me,  
Are they enemies or victims  
Of your society?

"
Bob Dylan,Ballad Of Hollis Brown,/b/bob+dylan/ballad+of+hollis+brown_20021599.html,"Hollis Brown  
He lived on the outside of town  
Hollis Brown  
He lived on the outside of town  
With his wife and five children  
And his cabin brokin' down.  
  
You looked for work and money  
And you walked a rugged mile  
You looked for work and money  
And you walked a rugged mile  
Your children are so hungry  
That they don't know how to smile.  
  
Your baby's eyes look crazy  
They're a-tuggin' at your sleeve  
Your baby's eyes look crazy  
They're a-tuggin' at your sleeve  
You walk the floor and wonder why  
With every breath you breathe.  
  
The rats have got your flour  
Bad blood it got your mare  
The rats have got your flour  
Bad blood it got your mare  
If there's anyone that knows  
Is there anyone that cares?  
  
You prayed to the Lord above  
Oh please send you a friend  
You prayed to the Lord above  
Oh please send you a friend  
Your empty pocket tell you  
That you ain't a-got no friend.  
  
Your babies are crying louder now  
It's pounding on your brain  
Your babies are crying louder now  
It's pounding on your brain  
Your wife's screams are stabbin' you  
Like the dirty drivin' rain.  
  
Your grass is turning black  
There's no water in your well  
Your grass is turning black  
There's no water in your well  
Your spent your last lone dollar  
On seven shotgun shels.  
  
Way out in the wilderness  
A cold coyote calls  
Way out in the wilderness  
A cold coyote calls  
Your eyes fix on the shortgun  
That's hangin' on the wall.  
  
Your brain is a-bleedin'  
And your legs can't seem to stand  
Your brain is a-bleedin'  
And your legs can't seem to stand  
Your eyes fix on the shortgun  
That you're holdin' in your hand.  
  
There's seven breezes a-blowin'  
All around the cabin door  
There's seven breezes a-blowin'  
All around the cabin door  
Seven shots ring out  
Like the ocean's pounding roar.  
  
There's seven people dead  
On a south Dakota farm  
There's seven people dead  
On a south Dakota farm  
Somewhere in the distance  
There's seven new people born.

"
Bob Dylan,Belle Isle,/b/bob+dylan/belle+isle_20021513.html,"One evening for pleasure I rambled to view  
The fair fields all alone  
Down by the banks of Loch Eiron  
Where beauty and pleasure were known.  
  
I spied a fair maid at her labour  
Which caused me to stay for a while  
And I thought of a goddess to beauty  
Bloomin' bright star of Bright Isle.  
  
I humbled myself to her beauty  
""Fair maiden, where do you belong ?  
Are you from heaven descended  
Abiding in Cupid's fair throne ?"".  
  
""Young man, I will tell you a secret  
It's true I'm a maid that is poor  
And to part from my vows and my promise  
Is more than my heart can endure.  
  
Therefore I remain at my service  
And go through all my hardship and toil  
And wait for the lad that has left me  
All alone on the banks of Belle Isle"".  
  
""Young maiden I wish not to banter  
It's true I come here in disguise  
I came here to fulfill our last promise  
And hope to give you a surprise.  
  
I've known you're a maid I love dearly  
And you've been in my heart all the while  
For me there is no other damsel  
Than my bloomin' bright star of Belle Isle"".

"
Bob Dylan,Beyond Here Lies Nothin',/b/bob+dylan/beyond+here+lies+nothin_20837239.html,"Oh well, I love you pretty baby  
You're the only love I've ever known  
Just as long as you stay with me  
The whole world is my throne  
Beyond here lies nothin'  
Nothing we can call our own  
  
Well, I'm moving after midnight  
Down boulevards of broken cars  
Don't know what I do without it  
Without this love that we call ours  
Beyond here lies nothin'  
Nothing but the moon and stars  
  
Down every street there's a window  
And every window made of glass  
We'll keep on loving pretty baby  
For as long as love will last  
Beyond here lies nothin'  
But the mountains of the past  
  
Well my ship is in the harbor  
And the sails are spread  
Listen to me, pretty baby  
Lay your hand upon my head  
Beyond here lies nothin'  
Nothing done and nothing said

"
Bob Dylan,Beyond The Horizon,/b/bob+dylan/beyond+the+horizon_20538898.html,"Beyond the horizon, behind the sun  
At the end of the rainbow life has only begun  
In the long hours of twilight 'neath the stardust above  
Beyond the horizon it is easy to love  
  
My wretched heart's pounding  
I felt an angel's kiss  
My memories are drowning  
In mortal bliss  
  
Beyond the horizon, in the Springtime or Fall  
Love waits forever for one and for all  
  
Beyond the horizon across the divide  
'Round about midnight, we'll be on the same side  
Down in the valley the water runs cold  
Beyond the horizon someone prayed for your soul  
  
I'm touched with desire  
What don't I do?  
I'll throw the logs on the fire  
I'll build my world around you  
  
Beyond the horizon, at the end of the game  
Every step that you take, I'm walking the same  
  
Beyond the horizon the night winds blow  
The theme of a melody from many moons ago  
The bells of St. Mary, how sweetly they chime  
Beyond the horizon I found you just in time  
  
It's dark and it's dreary  
I ponder in vain  
I'm weakened, I'm weary  
My repentance is plain  
  
Beyond the horizon o'er the treacherous sea  
I still can't believe that you've set aside your love for me  
  
Beyond the horizon, 'neath crimson skies  
In the soft light of morning I'll follow you with my eyes  
Through countries and kingdoms and temples of stone  
Beyond the horizon right down to the bone  
  
It's late in the season  
Never knew, never cared  
Whatever the reason  
Someone's life has been spared  
  
Beyond the horizon the sky is so blue  
I've got more than a lifetime to live lovin' you

"
Bob Dylan,Black Crow Blues,/b/bob+dylan/black+crow+blues_20021148.html,"I woke in the mornin', wand'rin',  
Wasted and worn out.  
I woke in the mornin', wand'rin',  
Wasted and worn out.  
Wishin' my long-lost lover  
Will walk to me, talk to me,  
Tell me what it's all about.  
  
I was standin' at the side road  
Listenin' to the billboard knock.  
Standin' at the side road  
Listenin' to the billboard knock.  
Well, my wrist was empty  
But my nerves were kickin',  
Tickin' like a clock.  
  
If I got anything you need, babe,  
Let me tell you in front.  
If I got anything you need, babe,  
Let me tell you in front.  
You can come to me sometime,  
Night time, day time,  
Any time you want.  
  
Sometimes I'm thinkin'  
I'm too high to fall.  
Sometimes I'm thinkin'  
I'm too high to fall.  
Other times I'm thinkin' I'm  
So low I don't know  
If I can come up at all.  
  
Black crows in the meadow  
Across a broad highway.  
Black crows in the meadow  
Across a broad highway.  
Though it's funny, honey,  
I just don't feel much like a  
Scarecrow today.

"
